id,season,manager_name,final_rank,wins,draws,losses,points,points_for,competition_type,imported_at
6d9890d5-2c84-4d3f-af18-fb8d46f20d27,2023/24,DAVID,9,16,0,22,48,1294,league,2026-01-26 20:35:27.048169+00
6e4ba2ab-a101-4174-8557-1a2efcd9314b,2021/22,PATRICK,9,14,0,24,42,1488,league,2026-01-26 20:35:27.048169+00
772a8827-4871-44c6-983f-622b3e2dc152,2022/23,DAVID,6,19,3,16,0,1544,goblet,2026-01-26 20:35:27.048169+00
7749c1ff-2e3c-4b59-9a5a-028f123566fb,2024/25,MARCO,3,23,0,15,69,1628,league,2026-01-26 20:35:27.048169+00
785e7f26-3839-4755-b892-2297a96f104f,2024/25,DAVID,7,18,0,20,0,1519,goblet,2026-01-26 20:35:27.048169+00
790ca993-dfa7-43a9-afb6-192b4d6dc4bb,2022/23,PATRICK,2,21,1,16,64,1682,league,2026-01-26 20:35:27.048169+00
7e5b50df-b716-4f08-bb17-1fad58dc5569,2023/24,HENRI,3,21,1,16,64,1637,league,2026-01-26 20:35:27.048169+00
7e9e952f-36e9-451d-8a77-888a1ce77fa9,2024/25,LENNART,9,14,1,23,43,1302,league,2026-01-26 20:35:27.048169+00
7f442ea0-d075-43fc-a0c9-005da2b7e1db,2021/22,BENJI,5,23,0,15,0,1603,goblet,2026-01-26 20:35:27.048169+00
80ddaa39-31a9-46e3-93f4-403eccbfdc05,2022/23,MAX,10,12,1,25,0,1399,goblet,2026-01-26 20:35:27.048169+00
83396498-ba96-4567-8ce6-d658ab3c24ef,2023/24,MAX,5,19,0,19,0,1612,goblet,2026-01-26 20:35:27.048169+00
8346e6ae-b93d-442f-a6d0-60bebb2576c7,2024/25,MATT,6,19,0,19,57,1649,league,2026-01-26 20:35:27.048169+00
8646f684-515a-4d56-ac99-e894847765f3,2024/25,MARCO,3,23,0,15,0,1628,goblet,2026-01-26 20:35:27.048169+00
88b99449-6c80-4905-ab33-3f938f6eae95,2024/25,PATRICK,1,24,0,14,0,1717,goblet,2026-01-26 20:35:27.048169+00
9076aa0a-d8e8-4442-8f33-2e885a8aa40c,2022/23,LENNART,5,13,3,22,0,1565,goblet,2026-01-26 20:35:27.048169+00
90f7b0bb-64f5-45e0-ab89-450be5966970,2023/24,MARCO,6,18,0,20,0,1603,goblet,2026-01-26 20:35:27.048169+00
96cbea63-ba2a-4bb6-a1c8-95236c7d46c3,2023/24,MAX,5,19,0,19,57,1612,league,2026-01-26 20:35:27.048169+00
9dbebc3e-6b12-4dea-9c94-25de75322c64,2023/24,PATRICK,1,25,0,13,75,1739,league,2026-01-26 20:35:27.048169+00
a0c083ee-45cf-466b-bd18-79286c1b3946,2024/25,PATRICK,1,24,0,14,72,1717,league,2026-01-26 20:35:27.048169+00
a36b103f-4f77-40f0-b7c3-b38985f71f7a,2021/22,DAVID,9,17,0,21,0,1522,goblet,2026-01-26 20:35:27.048169+00
a8539c66-d7ad-4a93-8237-3ecfb7140258,2023/24,PATRICK,1,25,0,13,0,1739,goblet,2026-01-26 20:35:27.048169+00
a89680b4-2f45-4706-94d6-4d1570b96b09,2021/22,MATT,4,19,1,18,0,1608,goblet,2026-01-26 20:35:27.048169+00
ab488436-56f1-4756-a9d6-c5e6bb59429c,2022/23,IAN,4,20,1,17,0,1579,goblet,2026-01-26 20:35:27.048169+00
aebc898c-5c35-4157-a6d5-982a375364a9,2022/23,IAN,3,20,1,17,61,1579,league,2026-01-26 20:35:27.048169+00
b3459d31-8064-4db0-847e-309448c010ed,2021/22,IAN,6,21,1,16,0,1545,goblet,2026-01-26 20:35:27.048169+00
b6b0a333-1669-40fb-b680-8bc5a711420b,2021/22,MATT,6,19,1,18,58,1608,league,2026-01-26 20:35:27.048169+00
b6cce294-778a-41ab-af6c-294180f261f4,2024/25,CHRIS,5,21,1,16,0,1573,goblet,2026-01-26 20:35:27.048169+00
bc25dee8-851a-4df1-bf03-502bc6fbddbf,2024/25,IAN,2,23,1,14,70,1621,league,2026-01-26 20:35:27.048169+00
bef7ca52-5fb7-4e73-ba04-91fda2a5cbb9,2022/23,CHRIS,6,17,1,20,52,1611,league,2026-01-26 20:35:27.048169+00
cd926827-14f0-440a-91d2-297fadc3c45a,2021/22,MARCO,1,23,0,15,69,1780,league,2026-01-26 20:35:27.048169+00
